@relation song_type
@attribute 'danceability' numeric
@attribute 'energy' numeric
@attribute 'key' numeric
@attribute 'loudness' numeric
@attribute 'speechiness' numeric
@attribute 'acousticness' numeric
@attribute 'instrumentalness' numeric
@attribute 'liveness' numeric
@attribute 'valence' numeric
@attribute 'tempo' numeric
@attribute 'id' string

@data
0.619,0.309,3,-9.725,0.0286,0.71,0.00000254,0.0943,0.186,114.944,7Edc41eud77GmJk8vCQVQj
0.795,0.597,11,-6.395,0.0327,0.106,0,0.113,0.849,110.014,14ny3vlL25p6Vix2Sb8k1b
0.599,0.537,9,-7.625,0.0268,0.935,0.893,0.301,0.258,123.722,7ejeQLLLGjVriLS7cojERB
0.526,0.402,4,-11.418,0.0404,0.871,0.0000597,0.11,0.406,125.132,7zPotVoWNGt5TxFLg24cbT
0.318,0.952,9,-3.234,0.094,0.0136,0.0152,0.167,0.0537,132.191,4qYlBtzkmby4r1N7etPnUv
0.297,0.26,6,-10.917,0.0317,0.865,0.0186,0.107,0.087,78.604,2lnOYfJOT8EW9UwK9M1jvz
0.739,0.491,6,-11.515,0.027,0.791,0.0366,0.1,0.707,111.008,0HAqq2GcQKyi3s87GuN7jU
0.303,0.853,2,-2.26,0.0366,0.223,0.00159,0.361,0.119,150.381,6EMynpZ10GVcwVqiLZj6Ye
0.283,0.716,1,-9.632,0.0986,0.447,0,0.399,0.828,201.96,3Um9toULmYFGCpvaIPFw7l
0.546,0.586,6,-8.488,0.0313,0.00346,0.00114,0.0562,0.364,131.778,45ROR8UMn60YEVQnDy0uVF
0.396,0.587,7,-8.746,0.0312,0.527,0.45,0.144,0.519,140.804,5I8oQkGK1ZFVYJzEv7VQVb
0.697,0.331,1,-9.983,0.153,0.814,0.000142,0.137,0.19,85.051,1Qp0UoVuuRvSn39tUd4iBf
0.484,0.91,9,-3.499,0.0483,0.163,0.00000113,0.315,0.501,125.364,4yCihiznWkDsbuIqf6mSiG
0.607,0.199,10,-17.95,0.0644,0.902,0.000876,0.146,0.11,139.835,5AmzmWV5W2cGE3pHesHMmS
0.86,0.422,1,-9.785,0.0296,0.541,0.00449,0.139,0.523,99.958,5o9iQVktO08gIlRAHqqxtj
0.741,0.35,9,-15.925,0.0493,0.352,0.00368,0.406,0.649,140.037,07akFpJE3QL6ZeyBjnMjpz
0.515,0.311,6,-7.743,0.0287,0.328,0.000153,0.111,0.172,116.575,3aV4xJGmhJHnyRhnzx5iHE
0.497,0.319,7,-11.274,0.0278,0.757,0.693,0.104,0.0534,118.048,6KRn10ju4gnOh3TeGmPoSg
0.782,0.512,4,-8.103,0.0324,0.297,0.0000324,0.0979,0.658,94.98,76tztTt7xAC6E0RZggd9xg
0.47,0.325,2,-18.354,0.044,0.829,0.841,0.107,0.529,170.026,6wGkpMhfq1zDktRCfVJCj4
0.562,0.289,10,-17.41,0.0588,0.541,0.41,0.111,0.264,160.976,62k1IgjDti5eEwBVyafSaV
0.592,0.67,10,-5.223,0.0278,0.00137,0.214,0.127,0.386,135.062,4IxF8WqWbfrzLBYX1PIktu
0.513,0.55,0,-7.342,0.0295,0.173,0.858,0.438,0.318,93.057,531HAtr5RRH76Oo2Ri24Dr
0.561,0.601,2,-8.393,0.0428,0.335,0.0608,0.11,0.503,165.963,3q0HbLi8WR29TPHtkl9Vvg
0.576,0.587,9,-8.735,0.0307,0.179,0.758,0.111,0.334,114.06,6z6i7ssJ5AIqSqhVcecJpa
0.591,0.573,4,-7.81,0.0307,0.0799,0.000269,0.0872,0.351,111.933,4m6bWxUDZojInmwu5HzQUZ
0.72,0.625,7,-6.274,0.0362,0.0112,0.00774,0.0999,0.818,102.004,4tYQkTO2bRLyBVgWF32Qxi
0.284,0.268,4,-15.813,0.0311,0.878,0.0549,0.166,0.108,95.727,5L9Htdkhg4OzMqdQwEMY8n
0.317,0.732,8,-7.922,0.0512,0.286,0.769,0.665,0.393,150.28,2d35rWWjdanFgU6xfS0xcn
0.657,0.374,0,-11.215,0.0611,0.749,0.0521,0.12,0.248,143.944,4jjogJz3p7YoOqvRhOBWDB
0.665,0.788,5,-3.889,0.0857,0.142,0,0.317,0.63,80.476,5wJ9sSG7NItwu34jMnyxqa
0.44,0.916,9,-5.918,0.0438,0.0000287,0.0163,0.129,0.506,151.023,1RodASVC0Qiftz9MDyvNvl
0.537,0.713,7,-6.25,0.0272,0.227,0.65,0.1,0.367,93.198,0oXwUeFAE6IR2lYhaTpxRT
0.715,0.505,0,-7.342,0.0306,0.447,0.613,0.0987,0.732,112.655,0FJgO84K3O7Wg0jiOhu0Ut
0.416,0.338,0,-11.274,0.059,0.818,0.00000347,0.382,0.33,156.018,0iB0cFlO0N3jPe10d8z4RX
0.711,0.428,1,-7.274,0.307,0.145,0,0.534,0.197,83.036,5YRFttxjAEgm2nq5Z2tlqK
0.504,0.58,1,-5.917,0.0279,0.0101,0.491,0.071,0.585,157.026,1NjzNt18LlNTuJYErYGvbQ
0.585,0.721,6,-8.042,0.0283,0.00107,0.891,0.109,0.959,143.015,7KVGTie5N8KjstWEHRS5qU
